season	rank	name	qty	category	isFirst
1	2	Captain Cosmos Player Icon		playerIcon
1	3	Small Vault-Tec Supply Package		consumable
1	4	Clean Sink		camp
1	5	Ammo Converter		camp
1	6	Ghillie Wood Armor Paint		skin
1	7	Lunchboxes	3	consumable
1	8	Atomic Onslaught Pip-Boy Paint		skin
1	9	Medium Vault-Tec Supply Package		consumable
1	10	Atoms	150	currency
1	11	Caps	1000	currency
1	12	Ghillie Leather Armor Paint		skin
1	13	Large Vault-Tec Supply Package		consumable
1	14	Flatwoods Fletcher Paint (Bow)		skin
1	15	Perk Card Pack	1	consumable
1	16	Legendary Scrip	50	currency
1	17	Lunchboxes	3	consumable
1	18	Atomic Onslaught T-45 Power Armor Paint		skin
1	19	Glow in the Dark Stars Wallpaper		camp
1	20	Atoms	150	currency
1	21	Gold Bullion	25	currency
1	22	Ghillie Metal Armor Paint		skin
1	23	Crackle Fireworks	10	consumable
1	24	Wastelander Photomode Frame		photomode
1	25	Flying Saucer Playscape		camp
1	26	Perk Card Pack	1	consumable
1	27	Lunchboxes	3	consumable
1	28	Atomic Onslaught T-51 Power Armor Paint		skin
1	29	Ghillie Hunting Rifle Paint		skin
1	30	Atoms	150	currency
1	31	Caps	2500	currency
1	32	Ghillie Backpack		apparel
1	33	Scrap Kits	3	consumable
1	34	Blood Eagle Player Icon		playerIcon
1	35	Perk Card Pack	1	consumable
1	36	Legendary Scrip	100	currency
1	37	Lunchboxes	3	consumable
1	38	Atomic Onslaught Excavator Power Armor Paint		skin
1	39	Giant Sheepsquatch Plushie		camp
1	40	Atoms	150	currency
1	41	Gold Bullion	25	currency
1	42	Ghillie Robot Armor Paint		skin
1	43	Basic Repair Kits	3	consumable
1	44	Uncle Sam Pose		emote
1	45	Perk Card Pack	1	consumable
1	46	Blood Eagle Paint (Super Sledge)		skin
1	47	Lunchboxes	3	consumable
1	48	Atomic Onslaught T-60 Power Armor Paint		skin
1	49	Atoms	150	currency
1	50	Hanging Raider Cage		camp
1	51	Atoms	150	currency
1	52	Gold Bullion	50	currency
1	53	Ghillie Combat Armor Paint		skin
1	54	Crackle Fireworks	10	consumable
1	55	Perk Card Pack	1	consumable
1	56	Glow in the Dark Stars and Planets Wallpaper		camp
1	57	Lunchboxes	3	consumable
1	58	Atomic Onslaught X-01 Power Armor Paint		skin
1	59	Combat Rifle Dark Matter Paint		skin
1	60	Atoms	150	currency
1	61	Legendary Scrip	250	currency
1	62	Ghillie Scout Armor Paint		skin
1	63	Scrap Kits	6	consumable
1	64	Welcome to Adventure Photomode Frame		photomode
1	65	Perk Card Pack	1	consumable
1	66	Future-Tec CAMP		camp
1	67	Lunchboxes	3	consumable
1	68	Atomic Onslaught Ultracite Power Armor Paint		skin
1	69	Fireflies in a Jar Ceiling Lamp		camp
1	70	Atoms	150	currency
1	71	Gold Bullion	50	currency
1	72	Ghillie Marine Armor Paint		skin
1	73	Basic Repair Kits	6	consumable
1	74	Secret Service Helmet Player Icon		playerIcon
1	75	Perk Card Pack	2	consumable
1	76	Atomic Onslaught T-65 Power Armor Paint		skin
1	77	Lunchboxes	3	consumable
1	78	Chicken Coop		camp
1	79	Blood Eagle Paint (Handmade Rifle)		skin
1	80	Atoms	150	currency
1	81	Legendary Scrip	250	currency
1	82	Ghillie Secret Service Armor Paint		skin
1	83	Scrap Kits	15	consumable
1	84	Clean Sweep Pose		emote
1	85	Perk Card Pack	2	consumable
1	86	Space Explorer Jangles Backpack		apparel
1	87	Lunchboxes	6	consumable
1	88	Captain Cosmos Power Armor Paint		skin
1	89	Caps	2500	currency
1	90	Atoms	150	currency
1	91	Gold Bullion	100	currency
1	92	White Raider Skull Gas Mask		apparel
1	93	Basic Repair Kits	15	consumable
1	94	Appalachian Thunder Pipe Paint		skin
1	95	Perk Card Pack	3	consumable
1	96	Captain Cosmos Jetpack		skin
1	97	Lunchboxes	9	consumable
1	98	Pink Captain Cosmos Suit		apparel
1	98	Green Captain Cosmos Suit		apparel
1	98	Blue Captain Cosmos Suit		apparel
1	99	Fireplace Secret Door		camp
1	100	Planetarium Lamp		camp
1	100	Jangles the Moon Monkey Stein		camp
1	100	Framed Captain Cosmos Gameboard		camp
1	100	Captain Cosmos Dark Matter Jetpack		skin
1	100	Captain Cosmos Dark Matter Power Armor		skin
2	2	Armor Ace Player Icon		playerIcon
2	3	Health Kit Bundle		consumable
2	4	Military Foot Locker Stash Box		camp
2	5	Weight Bench		camp
2	6	Red Viper Wood Armor Paint		skin
2	7	Lunchboxes	3	consumable
2	8	Wooden Log Door		camp
2	9	Medium Vault-Tec Supply Package		consumable
2	10	Atoms	150	currency
2	11	Caps	2500	currency
2	12	Red Viper Leather Armor Paint		skin
2	13	Large Vault-Tec Supply Package		consumable
2	14	Brickhouse's Armor Ace Paint (Pump Action Shotgun)		skin
2	15	Perk Card Pack	1	consumable
2	16	Legendary Scrip	50	currency
2	17	Lunchboxes	3	consumable
2	18	Armor Ace Power Armor T-45 Paint		skin
2	19	Ship in a Bottle		camp
2	20	Atoms	150	currency
2	21	Gold Bullion	50	currency
2	22	Red Viper Metal Armor Paint		skin
2	23	Rad Kit Bundle		consumable
2	24	Armor Ace Photomode Frame		photomode
2	25	Vault-Tec Foosball Table		camp
2	26	Perk Card Pack	1	consumable
2	27	Lunchboxes	3	consumable
2	28	Armor Ace Power Armor T-51 Paint		skin
2	29	Vintage Nukashine	12	consumable
2	30	Atoms	150	currency
2	31	Caps	2500	currency
2	32	Officer's Gas Mask		apparel
2	33	Scrap Kit	3	consumable
2	34	Subjugator Player Icon		playerIcon
2	35	Perk Card Pack	1	consumable
2	36	Legendary Scrip	100	currency
2	37	Lunchboxes	3	consumable
2	38	Armor Ace Excavator Power Armor Paint		skin
2	39	Army Base Floor and Foundations		camp
2	40	Atoms	150	currency
2	41	Nuclear Keycards	5	consumable
2	42	Red Viper Robot Armor Paint		skin
2	43	Basic Repair Kits	3	consumable
2	44	I See No Evil Pose		photomode
2	45	Perk Card Pack	1	consumable
2	46	Red Viper Fatigues		apparel
2	47	Lunchboxes	3	consumable
2	48	Armor Ace Power Armor T-60 Paint		skin
2	49	Atoms	150	currency
2	50	West Virginia Electric Train Set		camp
