ALCH_FormID	ALCH_EDID	FULL	DESC	Weight	Value	DNAM_AddictionName	Keywords_Flat	Keyword_1	Keyword_2	Keyword_3	Keyword_4	Keyword_5	Keyword_6	Keyword_7	Keyword_8	Keyword_9	Keyword_10	Keyword_11	Keyword_12	Keyword_13	Keyword_14	Keyword_15	Keyword_16	Keyword_17	Keyword_18	Keyword_19	Keyword_20	Keyword_21	Keyword_22	Keyword_23	Keyword_24	Keyword_25	Keyword_26	Keyword_27	Keyword_28	Keyword_29	Keyword_30	ENIT_Value	ENIT_Flags	ENIT_Addiction_FormID	ENIT_Addiction_EDID	ENIT_Addiction_FULL	ENIT_AddictionChance	ENIT_ConsumeSound_FormID	ENIT_ConsumeSound_EDID	ENIT_ConsumeSound_FULL	ENIT_HealthCurve_FormID	ENIT_HealthCurve_EDID	ENIT_HealthCurve_FULL	ENIT_SpoiledItem_FormID	ENIT_SpoiledItem_EDID	ENIT_SpoiledItem_FULL	ENIT_IsCanned	ENIT_CannedBase_FormID	ENIT_CannedBase_EDID	ENIT_CannedBase_FULL	Refs_Flat	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	EffectCount	EffectIndex	MGEF_FormID	MGEF_EDID	MGEF_FULL	EFIT_EffectID	EFIT_Magnitude	EFIT_Area	EFIT_Duration	EFIT_Unknown	MAGG_GLOB_FormID	MAGG_GLOB_EDID	MAGG_GLOB_FULL	DURG_GLOB_FormID	DURG_GLOB_EDID	DURG_GLOB_FULL	EIES_FormID	EIES_EDID	EIES_FULL	CODG_GLOB_FormID	CODG_GLOB_EDID	CODG_GLOB_FULL	CODV_CooldownValue
000045C9	"TrackingDart"	"Tracking Dart"	"Target emits a tracking signal."	"0.250000"	"40"	""	"ObjectTypeSyringerAmmo[0018506F] | SURV_Icon_TrackingDart[0050F98D]"	"ObjectTypeSyringerAmmo[0018506F]"	"SURV_Icon_TrackingDart[0050F98D]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"40"	"10011"		""	""	"0.000000"	0002BAF2	"NPCHumanChemsStimpak"	"NPCHumanChemsStimpak"		""	""		""	""	"False"		""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1	0	000045CA	"TrackingDartEffect"	"Tracking Dart"	"1"	"0.000000"	"0"	"3600"	""		""	""	002DBF93	"SURV_Food_Effect_Any_Dur_2_Medium"	"SURV_Food_Effect_Any_Dur_2_Medium"		""	""		""	""	"0"
00007030	"CorpseFlowerSeedsFruit"	"Corpse Seeds"	""	"0.250000"	"8"	""	"ObjectTypeFood[00055ECC] | MealTypeRaw[00134858] | IngredientTypeFruit[002944D1] | ObjectTypeCanSpoilDUPLICATE000[00572648]"	"ObjectTypeFood[00055ECC]"	"MealTypeRaw[00134858]"	"IngredientTypeFruit[002944D1]"	"ObjectTypeCanSpoilDUPLICATE000[00572648]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8"	"11"		""	""	"0.000000"	000BB044	"NPCHumanEatChewy"	"NPCHumanEatChewy"	0052B5BC	"CT_FoodHealth_RawFruit"	"CT_FoodHealth_RawFruit"	0037E135	"SpoiledFood_Fruit"	"Spoiled Fruit"	"False"		""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3	0	00024056	"DamageRadiationEating"	"Eating: Radiation Damage"	"0"	"5.000000"	"0"	"0"	""	002DBF8D	"SURV_Food_RadiationDamage_Mag_2_Medium"	"SURV_Food_RadiationDamage_Mag_2_Medium"		""	""		""	""		""	""	"0"
00007030	"CorpseFlowerSeedsFruit"	"Corpse Seeds"	""	"0.250000"	"8"	""	"ObjectTypeFood[00055ECC] | MealTypeRaw[00134858] | IngredientTypeFruit[002944D1] | ObjectTypeCanSpoilDUPLICATE000[00572648]"	"ObjectTypeFood[00055ECC]"	"MealTypeRaw[00134858]"	"IngredientTypeFruit[002944D1]"	"ObjectTypeCanSpoilDUPLICATE000[00572648]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8"	"11"		""	""	"0.000000"	000BB044	"NPCHumanEatChewy"	"NPCHumanEatChewy"	0052B5BC	"CT_FoodHealth_RawFruit"	"CT_FoodHealth_RawFruit"	0037E135	"SpoiledFood_Fruit"	"Spoiled Fruit"	"False"		""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3	1	0009A41B	"SURV_DiseaseVector_Food_Effect"	"SURV_DiseaseVector_Food_Effect"	"0"	"5.000000"	"0"	"0"	""	002DBF86	"SURV_Food_DiseaseChance_Mag_2_Medium"	"SURV_Food_DiseaseChance_Mag_2_Medium"		""	""		""	""		""	""	"0"
00007030	"CorpseFlowerSeedsFruit"	"Corpse Seeds"	""	"0.250000"	"8"	""	"ObjectTypeFood[00055ECC] | MealTypeRaw[00134858] | IngredientTypeFruit[002944D1] | ObjectTypeCanSpoilDUPLICATE000[00572648]"	"ObjectTypeFood[00055ECC]"	"MealTypeRaw[00134858]"	"IngredientTypeFruit[002944D1]"	"ObjectTypeCanSpoilDUPLICATE000[00572648]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8"	"11"		""	""	"0.000000"	000BB044	"NPCHumanEatChewy"	"NPCHumanEatChewy"	0052B5BC	"CT_FoodHealth_RawFruit"	"CT_FoodHealth_RawFruit"	0037E135	"SpoiledFood_Fruit"	"Spoiled Fruit"	"False"		""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3	2	00026874	"SURV_Food_Effect"	"SURV_Food_Effect"	"0"	"300.000000"	"0"	"0"	""	002DBF7A	"SURV_Food_RestoreHunger_Mag_1_Tiny"	"SURV_Food_RestoreHunger_Mag_1_Tiny"		""	""		""	""		""	""	"0"
000070A0	"Brew_MountainHoneyMoonshine"	"Mountain Honey"	""	"1.200000"	"20"	"Alcohol"	"ObjectTypeDrink[000F4AEC] | DrinkTypeAlcohol[0010C416] | SpiritAlcoholType[003FBC4A] | FreshAlcoholType[0040BD74] | BlockSuperDuperPerk[0043C439] | DrinkTypeLiquor[004878E3]"	"ObjectTypeDrink[000F4AEC]"	"DrinkTypeAlcohol[0010C416]"	"SpiritAlcoholType[003FBC4A]"	"FreshAlcoholType[0040BD74]"	"BlockSuperDuperPerk[0043C439]"	"DrinkTypeLiquor[004878E3]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20"	"11011"	0003E061	"AbAddictionAlcohol"	"Alcohol Addiction"	"0.150000"	003F4CAF	"NPCHumanDrinkBrewMountainHoneyMoonshine"	"NPCHumanDrinkBrewMountainHoneyMoonshine"		""	""		""	""	"False"		""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	10	0	00134836	"SURV_Drink_Effect"	"SURV_Drink_Effect"	"7"	"900.000000"	"0"	"0"	""	00284962	"SURV_Drink_RestoreThirst_Mag_1_Normal"	"SURV_Drink_RestoreThirst_Mag_1_Normal"		""	""		""	""		""	""	"0"
000070A0	"Brew_MountainHoneyMoonshine"	"Mountain Honey"	""	"1.200000"	"20"	"Alcohol"	"ObjectTypeDrink[000F4AEC] | DrinkTypeAlcohol[0010C416] | SpiritAlcoholType[003FBC4A] | FreshAlcoholType[0040BD74] | BlockSuperDuperPerk[0043C439] | DrinkTypeLiquor[004878E3]"	"ObjectTypeDrink[000F4AEC]"	"DrinkTypeAlcohol[0010C416]"	"SpiritAlcoholType[003FBC4A]"	"FreshAlcoholType[0040BD74]"	"BlockSuperDuperPerk[0043C439]"	"DrinkTypeLiquor[004878E3]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20"	"11011"	0003E061	"AbAddictionAlcohol"	"Alcohol Addiction"	"0.150000"	003F4CAF	"NPCHumanDrinkBrewMountainHoneyMoonshine"	"NPCHumanDrinkBrewMountainHoneyMoonshine"		""	""		""	""	"False"		""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	10	1	001B5B29	"FortifyLuckMagazineLiveLove"	"Live & Love - Fortify Luck"	"8"	"1.000000"	"0"	"0"	""		""	""		""	""		""	""		""	""	"0"
000070A0	"Brew_MountainHoneyMoonshine"	"Mountain Honey"	""	"1.200000"	"20"	"Alcohol"	"ObjectTypeDrink[000F4AEC] | DrinkTypeAlcohol[0010C416] | SpiritAlcoholType[003FBC4A] | FreshAlcoholType[0040BD74] | BlockSuperDuperPerk[0043C439] | DrinkTypeLiquor[004878E3]"	"ObjectTypeDrink[000F4AEC]"	"DrinkTypeAlcohol[0010C416]"	"SpiritAlcoholType[003FBC4A]"	"FreshAlcoholType[0040BD74]"	"BlockSuperDuperPerk[0043C439]"	"DrinkTypeLiquor[004878E3]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20"	"11011"	0003E061	"AbAddictionAlcohol"	"Alcohol Addiction"	"0.150000"	003F4CAF	"NPCHumanDrinkBrewMountainHoneyMoonshine"	"NPCHumanDrinkBrewMountainHoneyMoonshine"		""	""		""	""	"False"		""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	10	2	00102252	"FortifyCharismaAlcohol"	"Alcohol: Fortify Charisma"	"1"	"1.000000"	"0"	"300"	""		""	""		""	""		""	""		""	""	"0"
000070A0	"Brew_MountainHoneyMoonshine"	"Mountain Honey"	""	"1.200000"	"20"	"Alcohol"	"ObjectTypeDrink[000F4AEC] | DrinkTypeAlcohol[0010C416] | SpiritAlcoholType[003FBC4A] | FreshAlcoholType[0040BD74] | BlockSuperDuperPerk[0043C439] | DrinkTypeLiquor[004878E3]"	"ObjectTypeDrink[000F4AEC]"	"DrinkTypeAlcohol[0010C416]"	"SpiritAlcoholType[003FBC4A]"	"FreshAlcoholType[0040BD74]"	"BlockSuperDuperPerk[0043C439]"	"DrinkTypeLiquor[004878E3]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20"	"11011"	0003E061	"AbAddictionAlcohol"	"Alcohol Addiction"	"0.150000"	003F4CAF	"NPCHumanDrinkBrewMountainHoneyMoonshine"	"NPCHumanDrinkBrewMountainHoneyMoonshine"		""	""		""	""	"False"		""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	10	3	0018E145	"PerkHappyGoLuckyFortifyLuck"	"Happy-Go-Lucky - Fortify Luck"	"2"	"2.000000"	"0"	"300"	""		""	""		""	""		""	""		""	""	"0"
000070A0	"Brew_MountainHoneyMoonshine"	"Mountain Honey"	""	"1.200000"	"20"	"Alcohol"	"ObjectTypeDrink[000F4AEC] | DrinkTypeAlcohol[0010C416] | SpiritAlcoholType[003FBC4A] | FreshAlcoholType[0040BD74] | BlockSuperDuperPerk[0043C439] | DrinkTypeLiquor[004878E3]"	"ObjectTypeDrink[000F4AEC]"	"DrinkTypeAlcohol[0010C416]"	"SpiritAlcoholType[003FBC4A]"	"FreshAlcoholType[0040BD74]"	"BlockSuperDuperPerk[0043C439]"	"DrinkTypeLiquor[004878E3]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20"	"11011"	0003E061	"AbAddictionAlcohol"	"Alcohol Addiction"	"0.150000"	003F4CAF	"NPCHumanDrinkBrewMountainHoneyMoonshine"	"NPCHumanDrinkBrewMountainHoneyMoonshine"		""	""		""	""	"False"		""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	10	4	00245EF2	"AddictionOddsAlcohol"	"Chance Addiction Alcohol"	"9"	"25.000000"	"0"	"0"	""		""	""		""	""		""	""		""	""	"0"
000070A0	"Brew_MountainHoneyMoonshine"	"Mountain Honey"	""	"1.200000"	"20"	"Alcohol"	"ObjectTypeDrink[000F4AEC] | DrinkTypeAlcohol[0010C416] | SpiritAlcoholType[003FBC4A] | FreshAlcoholType[0040BD74] | BlockSuperDuperPerk[0043C439] | DrinkTypeLiquor[004878E3]"	"ObjectTypeDrink[000F4AEC]"	"DrinkTypeAlcohol[0010C416]"	"SpiritAlcoholType[003FBC4A]"	"FreshAlcoholType[0040BD74]"	"BlockSuperDuperPerk[0043C439]"	"DrinkTypeLiquor[004878E3]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"20"	"11011"	0003E061	"AbAddictionAlcohol"	"Alcohol Addiction"	"0.150000"	003F4CAF	"NPCHumanDrinkBrewMountainHoneyMoonshine"	"NPCHumanDrinkBrewMountainHoneyMoonshine"		""	""		""	""	"False"		""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	10	5	0018E146	"PerkHappyGoLucky02FortifyLuck"	"Happy-Go-Lucky02 - Fortify Luck"	"3"	"3.000000"	"0"	"300"	""		""	""		""	""		""	""		""	""	"0"
