BPTD_FormID	BPTD_EDID	Model	PartIndex	BPTN_PartName	BPNN_PartNode	BPNT_VATSTarget	DamageMult	PartType	HealthPercent	ActorValue_FormID	ActorValue_EDID	ActorValue_FULL	ToHitChance	ExplosionChancePct	NonLethalDismemberChance	Flags	LimbReplacementScale	RefBy_RACE_FormIDs	RefBy_RACE_EDIDs	RefBy_RACE_Names
0002AA8F	MoleratBodyPartData	Actors\Molerat\CharacterAssets\Skeleton.nif	0	Left Legs	Back_LLeg1	Back_LLeg1	1.000000	LeftLeg2	30	00000370	LeftMobilityCondition	Left Leg	50	50	0	Severable, Explodable	1.000000	0001D810	MoleratRace	Mole Rat
0002AA8F	MoleratBodyPartData	Actors\Molerat\CharacterAssets\Skeleton.nif	1	Root	Root	Back_LLeg1	1.000000	Root	0				0	0	0		1.000000	0001D810	MoleratRace	Mole Rat
0002AA8F	MoleratBodyPartData	Actors\Molerat\CharacterAssets\Skeleton.nif	2	Right Legs	Back_RLeg1	Back_RLeg1	1.000000	RightLeg2	30	00000371	RightMobilityCondition	Right Leg	50	50	0	Severable, Explodable	1.000000	0001D810	MoleratRace	Mole Rat
0002AA8F	MoleratBodyPartData	Actors\Molerat\CharacterAssets\Skeleton.nif	3	Left Legs	Front_LLeg1	Front_LLeg1	1.000000	LeftLeg1	30	00000370	LeftMobilityCondition	Left Leg	50	50	0	Severable, Explodable	1.000000	0001D810	MoleratRace	Mole Rat
0002AA8F	MoleratBodyPartData	Actors\Molerat\CharacterAssets\Skeleton.nif	4	Left Foot	Front_LLegAnkle	Front_LLegAnkle	1.000000	Left Foot	20	00000370	LeftMobilityCondition	Left Leg	50	0	0		1.000000	0001D810	MoleratRace	Mole Rat
0002AA8F	MoleratBodyPartData	Actors\Molerat\CharacterAssets\Skeleton.nif	5	Right Legs	Front_RLeg1	Front_RLeg1	1.000000	RightLeg1	30	00000371	RightMobilityCondition	Right Leg	50	50	0	Severable, Explodable	1.000000	0001D810	MoleratRace	Mole Rat
0002AA8F	MoleratBodyPartData	Actors\Molerat\CharacterAssets\Skeleton.nif	6	Right Foot	Front_RLegAnkle	Front_RLegAnkle	1.000000	Right Foot	20	00000371	RightMobilityCondition	Right Leg	50	0	0		1.000000	0001D810	MoleratRace	Mole Rat
0002AA8F	MoleratBodyPartData	Actors\Molerat\CharacterAssets\Skeleton.nif	7	Head	Head	Head	1.500000	Head1	25	0000036C	PerceptionCondition	Head	25	100	0	Hit Reaction, Hit Reaction - Default, Explodable, Cut - Meat Cap Sever	1.000000	0001D810	MoleratRace	Mole Rat
0002AA8F	MoleratBodyPartData	Actors\Molerat\CharacterAssets\Skeleton.nif	8	Torso	Pelvis	SPINE2	1.000000	Torso	50	0000036D	EnduranceCondition	Torso	60	100	0	Hit Reaction, Explodable	1.000000	0001D810	MoleratRace	Mole Rat
00024570	BloodbugBodyPartData	Actors\Mosquito\CharacterAssets\skeleton.nif	0	Torso	COM [COM ]	COM [COM ]	1.000000	Torso	80	0000036D	EnduranceCondition	Torso	40	100	0	Hit Reaction, Hit Reaction - Default, Explodable	1.000000	0002456D	BloodbugRace	Bloodbug
00024570	BloodbugBodyPartData	Actors\Mosquito\CharacterAssets\skeleton.nif	1	Head	Head	Head	1.500000	Head1	30	0000036C	PerceptionCondition	Head	15	100	0	Explodable, Cut - Meat Cap Sever	1.000000	0002456D	BloodbugRace	Bloodbug
00024570	BloodbugBodyPartData	Actors\Mosquito\CharacterAssets\skeleton.nif	2	Legs	L BLeg2	L BLegAnkle	1.000000	LeftLeg3	15	00000373	AvailableCondition1		25	100	50	Explodable, Cut - Meat Cap Sever	1.000000	0002456D	BloodbugRace	Bloodbug
00024570	BloodbugBodyPartData	Actors\Mosquito\CharacterAssets\skeleton.nif	3	Legs	L FLeg2	L FLegAnkle	1.000000	LeftLeg1	15	00000373	AvailableCondition1		25	100	50	Explodable, Cut - Meat Cap Sever	1.000000	0002456D	BloodbugRace	Bloodbug
00024570	BloodbugBodyPartData	Actors\Mosquito\CharacterAssets\skeleton.nif	4	Legs	L MLeg2	L MLegAnkle	1.000000	LeftLeg2	15	00000373	AvailableCondition1		25	100	50	Explodable, Cut - Meat Cap Sever	1.000000	0002456D	BloodbugRace	Bloodbug
00024570	BloodbugBodyPartData	Actors\Mosquito\CharacterAssets\skeleton.nif	5	Left Wing	L Wing	L Wing	1.000000	LeftArm1	60	00000370	LeftMobilityCondition	Left Leg	30	100	0	Explodable, Cut - Meat Cap Sever	1.000000	0002456D	BloodbugRace	Bloodbug
00024570	BloodbugBodyPartData	Actors\Mosquito\CharacterAssets\skeleton.nif	6	Legs	R BLeg2	R BLegAnkle	1.000000	RightLeg3	15	00000373	AvailableCondition1		25	25	50	Explodable, Cut - Meat Cap Sever	1.000000	0002456D	BloodbugRace	Bloodbug
00024570	BloodbugBodyPartData	Actors\Mosquito\CharacterAssets\skeleton.nif	7	Legs	R FLeg2	R FLegAnkle	1.000000	RightLeg1	15	00000373	AvailableCondition1		25	100	50	Explodable, Cut - Meat Cap Sever	1.000000	0002456D	BloodbugRace	Bloodbug
00024570	BloodbugBodyPartData	Actors\Mosquito\CharacterAssets\skeleton.nif	8	Legs	R MLeg2	R MLegAnkle	1.000000	RightLeg2	15	00000373	AvailableCondition1		25	100	50	Explodable, Cut - Meat Cap Sever	1.000000	0002456D	BloodbugRace	Bloodbug
00024570	BloodbugBodyPartData	Actors\Mosquito\CharacterAssets\skeleton.nif	9	Right Wing	R Wing	R Wing	1.000000	RightArm1	60	00000370	LeftMobilityCondition	Left Leg	30	100	0	Explodable, Cut - Meat Cap Sever	1.000000	0002456D	BloodbugRace	Bloodbug
00024570	BloodbugBodyPartData	Actors\Mosquito\CharacterAssets\skeleton.nif	10	Root	Root [Root]	Root [Root]	1.000000	Root	0				0	0	0		1.000000	0002456D	BloodbugRace	Bloodbug
00024570	BloodbugBodyPartData	Actors\Mosquito\CharacterAssets\skeleton.nif	11	Blood Sac	TailAttach	TailAttach	1.000000	Head2	15	00000374	AvailableCondition2		25	100	0	Explodable, Cut - Meat Cap Sever	1.000000	0002456D	BloodbugRace	Bloodbug
00023FFF	mirelurkBodyPartData	Actors\Mirelurk\CharacterAssets\skeleton.nif	0	Head	Head	Head	1.250000	Head1	25	0000036C	PerceptionCondition	Head	30	95	0	Severable, Hit Reaction - Default, Explodable, Cut - Meat Cap Sever	1.000000	00023FFC	MirelurkRace	Mirelurk
00023FFF	mirelurkBodyPartData	Actors\Mirelurk\CharacterAssets\skeleton.nif	1	Left Arm	LArmUpper	LArmPalm	0.500000	LeftArm1	45	0000036E	LeftAttackCondition	Left Arm	55	50	50	Severable, Hit Reaction, Explodable, On Cripple	1.000000	00023FFC	MirelurkRace	Mirelurk
00023FFF	mirelurkBodyPartData	Actors\Mirelurk\CharacterAssets\skeleton.nif	2	Left Legs	LBackLegThigh	LFrontLegCalf	1.000000	LeftLeg2	25	00000370	LeftMobilityCondition	Left Leg	50	50	0	Severable, Explodable	1.000000	00023FFC	MirelurkRace	Mirelurk
00023FFF	mirelurkBodyPartData	Actors\Mirelurk\CharacterAssets\skeleton.nif	3	Left Legs	LFrontLegThigh	LFrontLegCalf	1.000000	LeftLeg1	25	00000370	LeftMobilityCondition	Left Leg	50	50	0	Severable, Explodable	1.000000	00023FFC	MirelurkRace	Mirelurk
00023FFF	mirelurkBodyPartData	Actors\Mirelurk\CharacterAssets\skeleton.nif	4	Left Foot	LFrontLegTip	LFrontLegTip	1.000000	Left Foot	20	00000370	LeftMobilityCondition	Left Leg	50	0	0		1.000000	00023FFC	MirelurkRace	Mirelurk
00023FFF	mirelurkBodyPartData	Actors\Mirelurk\CharacterAssets\skeleton.nif	5	Right Arm	RArmUpper	RArmPalm	0.500000	RightArm1	45	0000036F	RightAttackCondition	Right Arm	55	50	50	Severable, Hit Reaction, Explodable, On Cripple	1.000000	00023FFC	MirelurkRace	Mirelurk
00023FFF	mirelurkBodyPartData	Actors\Mirelurk\CharacterAssets\skeleton.nif	6	Right Legs	RBackLegThigh	RFrontLegCalf	1.000000	RightLeg2	25	00000371	RightMobilityCondition	Right Leg	50	50	0	Severable, Explodable, On Cripple	1.000000	00023FFC	MirelurkRace	Mirelurk
00023FFF	mirelurkBodyPartData	Actors\Mirelurk\CharacterAssets\skeleton.nif	7	Right Legs	RFrontLegThigh	RFrontLegCalf	1.000000	RightLeg1	25	00000371	RightMobilityCondition	Right Leg	50	50	0	Severable, Explodable	1.000000	00023FFC	MirelurkRace	Mirelurk
00023FFF	mirelurkBodyPartData	Actors\Mirelurk\CharacterAssets\skeleton.nif	8	Right Foot	RFrontLegTip	RFrontLegTip	1.000000	Right Foot	20	00000371	RightMobilityCondition	Right Leg	50	0	0		1.000000	00023FFC	MirelurkRace	Mirelurk
