NPC_FormID	NPC_EDID	NPC_FULL	NPC_SHRT	TPLT_FormID	TPLT_EDID	MerchantFaction_FormID	MerchantFaction_EDID	VendorFlags	BuySellList_FormID	BuySellList_EDID	BuySellList_Sig	MerchantContainerRef_FormID	MerchantContainerBase_FormID	MerchantContainerBase_EDID	PlacementCount
0006C507	CUT_EncBrahminClarabell	Clarabell		00020480	EncBrahmin01Template	000330BB	DomesticAnimalFaction								0
0002F824	CUT_EncBrahminRosie	Rosie		00020480	EncBrahmin01Template	000330BB	DomesticAnimalFaction								0
00079304	DebugJPCitizen	Resident				000035DE	GenericNPCFaction								0
000995A6	AudioTemplateBrahmin	Brahmin				000330BB	DomesticAnimalFaction								0
0009DCBC	AudioTemplateRadStag	AudioTemplateRadstag				000330BB	DomesticAnimalFaction								0
00110043	EncRaiderVoiceMale01	Raider				000392FA	RERaiderScavengerFaction								0
00110044	EncRaiderVoiceMale02	Raider				000392FA	RERaiderScavengerFaction								0
00110045	EncRaiderVoiceFemale01	Raider				000392FA	RERaiderScavengerFaction								0
00113340	corpse_NPCMaleFarmer01Template	Civilian		000A0E2F	Loot_CorpseBase	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00113343	corpse_NPCMaleFarmer02			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00113344	corpse_NPCMaleFarmer03			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00113345	corpse_NPCMaleFarmer04			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00113346	corpse_NPCFemaleFarmer01Template			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00113347	corpse_NPCFemaleFarmer02			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00113348	corpse_NPCFemaleFarmer03			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00113349	corpse_NPCFemaleFarmer04			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
0011334A	corpse_NPCMaleGuard01Template			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
0011334B	corpse_NPCMaleGuard02			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
0011334C	corpse_NPCFemaleGuard02			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
0011334D	corpse_NPCFemaleGuard01			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00114A65	WorkshopBrahmin	Brahmin		00020480	EncBrahmin01Template	000330BB	DomesticAnimalFaction								0
