QuestFormID	QuestEDID	QuestName	AliasIndex	AliasID	AliasName	AliasKind	AliasFlags	FillLinks	Conditions	Scripts
00095360	FFZ11_Pack	Activity: Leader of the Pack	0	2	PackLocation01	Loc			10000000|1.000000|LocationHasRefType|00 00 00|00 00|FFZ11_Pack_SpawnAreaLRT [LCRT:00369C25]|00 00 00 00|0|-1|Subject|	
00095360	FFZ11_Pack	Activity: Leader of the Pack	1	22	PackLocation02	Loc			10000000|1.000000|LocationHasRefType|00 00 00|00 00|FFZ11_Pack_SpawnAreaLRT [LCRT:00369C25]|00 00 00 00|0|-1|Subject|	
00095360	FFZ11_Pack	Activity: Leader of the Pack	2	23	PackLocation03	Loc			10000000|1.000000|LocationHasRefType|00 00 00|00 00|FFZ11_Pack_SpawnAreaLRT [LCRT:00369C25]|00 00 00 00|0|-1|Subject|	
00095360	FFZ11_Pack	Activity: Leader of the Pack	3	31	AlphaWolfLocation	Loc			10000000|1.000000|LocationHasRefType|00 00 00|00 00|FFZ11_Pack_SpawnAreaLRT [LCRT:00369C25]|00 00 00 00|0|-1|Subject|	
00095360	FFZ11_Pack	Activity: Leader of the Pack	4	13	Pack1LocationSpawnArea	Ref		ALRT=00369C25:FFZ11_Pack_SpawnAreaLRT:LCRT		
00095360	FFZ11_Pack	Activity: Leader of the Pack	5	14	Pack2LocationSpawnArea	Ref		ALRT=00369C25:FFZ11_Pack_SpawnAreaLRT:LCRT		
00095360	FFZ11_Pack	Activity: Leader of the Pack	6	15	Pack3LocationSpawnArea	Ref		ALRT=00369C25:FFZ11_Pack_SpawnAreaLRT:LCRT		
00095360	FFZ11_Pack	Activity: Leader of the Pack	7	33	AlphaWolfLocationSpawnArea	Ref		ALRT=00369C25:FFZ11_Pack_SpawnAreaLRT:LCRT		
00095360	FFZ11_Pack	Activity: Leader of the Pack	8	19		RefCol				
00095360	FFZ11_Pack	Activity: Leader of the Pack	9	19	Pack1Followers	Ref		ALCO=00110A47:LvlWolf:NPC_ ; Keyword=0005D5E6:LinkCustom01:KYWD ; ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL ; ALFC=00369C30:FFZ11_Pack_CreatureFaction:FACT ; ALPC=00369C2F:FFZ11_Pack_FollowLinkCustom01:PACK		
00095360	FFZ11_Pack	Activity: Leader of the Pack	10	20		RefCol				
00095360	FFZ11_Pack	Activity: Leader of the Pack	11	20	Pack2Followers	Ref		ALCO=00110A47:LvlWolf:NPC_ ; ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL ; ALFC=00369C30:FFZ11_Pack_CreatureFaction:FACT ; ALPC=00369C2F:FFZ11_Pack_FollowLinkCustom01:PACK		
00095360	FFZ11_Pack	Activity: Leader of the Pack	12	21		RefCol				
00095360	FFZ11_Pack	Activity: Leader of the Pack	13	21	Pack3Followers	Ref		ALCO=00110A47:LvlWolf:NPC_ ; Keyword=0005D5E6:LinkCustom01:KYWD ; ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL ; ALFC=00369C30:FFZ11_Pack_CreatureFaction:FACT ; ALPC=00369C2F:FFZ11_Pack_FollowLinkCustom01:PACK		
00095360	FFZ11_Pack	Activity: Leader of the Pack	14	27	Pack1Leader	Ref		ALCO=0050ACFF:FFZ11_LvlWolfPackLeader:NPC_ ; Keyword=0005D5E6:LinkCustom01:KYWD ; ALDN=0052DCC7:FFZ11_Pack_PackLeaderNameOverride:MESG ; ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL ; ALPC=00369C2E:FFZ11_Pack_SandboxLinkCustom013000:PACK		
00095360	FFZ11_Pack	Activity: Leader of the Pack	15	28	Pack2Leader	Ref		ALCO=0050ACFF:FFZ11_LvlWolfPackLeader:NPC_ ; Keyword=0005D5E6:LinkCustom01:KYWD ; ALDN=0052DCC7:FFZ11_Pack_PackLeaderNameOverride:MESG ; ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL ; ALPC=00369C2E:FFZ11_Pack_SandboxLinkCustom013000:PACK		
00095360	FFZ11_Pack	Activity: Leader of the Pack	16	30	Pack3Leader	Ref		ALCO=0050ACFF:FFZ11_LvlWolfPackLeader:NPC_ ; Keyword=0005D5E6:LinkCustom01:KYWD ; ALDN=0052DCC7:FFZ11_Pack_PackLeaderNameOverride:MESG ; ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL ; ALPC=00369C2E:FFZ11_Pack_SandboxLinkCustom013000:PACK		
00095360	FFZ11_Pack	Activity: Leader of the Pack	17	32	AlphaWolf	Ref		ALCO=008AA91E:FFZ11_LvlAlphaWolf:NPC_ ; ALSP=008A6032:crEnemyNormalization_Events_BossEnemy_Spell:SPEL		
00095360	FFZ11_Pack	Activity: Leader of the Pack	18	34	EventRoot	Ref		ALFR=002C6141:event_root_tylercountyfairgrounds:REFR		
